Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,26040
Sample Interval,52.08
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
4.5622e+04,-78.0594
4.5674e+04,-76.5563
4.5726e+04,-75.05
4.5778e+04,-75.05
4.5830e+04,-75.05
4.5882e+04,-73.5469
4.5935e+04,-72.0406
4.5987e+04,-73.5469
4.6039e+04,-75.05
4.6091e+04,-73.5469
4.6143e+04,-72.0406
4.6195e+04,-70.05
4.6247e+04,-68.0594
4.6299e+04,-73.0594
4.6351e+04,-78.0594
4.6403e+04,-75.05
4.6455e+04,-72.0406
4.6507e+04,-73.5469
4.6560e+04,-75.05
4.6612e+04,-73.5469
4.6664e+04,-72.0406
4.6716e+04,-70.5375
4.6768e+04,-69.0312
4.6820e+04,-72.0406
4.6872e+04,-75.05
4.6924e+04,-76.5563
4.6976e+04,-78.0594
4.7028e+04,-75.05
4.7080e+04,-72.0406
4.7132e+04,-71.5563
4.7184e+04,-71.0719
4.7237e+04,-69.5656
4.7289e+04,-68.0594
4.7341e+04,-73.0594
4.7393e+04,-78.0594
4.7445e+04,-73.5469
4.7497e+04,-69.0312
4.7549e+04,-72.0406
4.7601e+04,-75.05
4.7653e+04,-76.5563
4.7705e+04,-78.0594
4.7757e+04,-73.5469
4.7809e+04,-69.0312
4.7862e+04,-73.5469
4.7914e+04,-78.0594
4.7966e+04,-76.5563
4.8018e+04,-75.05
4.8070e+04,-73.0625
4.8122e+04,-71.0719
4.8174e+04,-71.0719
4.8226e+04,-71.0719
4.8278e+04,-74.5656
4.8330e+04,-78.0594
4.8382e+04,-74.5656
4.8434e+04,-71.0719
4.8486e+04,-74.5656
4.8539e+04,-78.0594
4.8591e+04,-72.4906
4.8643e+04,-66.9219
4.8695e+04,-72.4906
4.8747e+04,-78.0594
4.8799e+04,-76.5563
4.8851e+04,-75.05
4.8903e+04,-73.0625
4.8955e+04,-71.0719
4.9007e+04,-73.0625
4.9059e+04,-75.05
4.9111e+04,-73.5469
4.9164e+04,-72.0406
4.9216e+04,-71.5563
4.9268e+04,-71.0719
4.9320e+04,-73.0625
4.9372e+04,-75.05
4.9424e+04,-73.0625
4.9476e+04,-71.0719
4.9528e+04,-74.5656
4.9580e+04,-78.0594
4.9632e+04,-76.5563
4.9684e+04,-75.05
4.9736e+04,-72.0406
4.9788e+04,-69.0312
4.9841e+04,-73.5469
4.9893e+04,-78.0594
4.9945e+04,-73.5469
4.9997e+04,-69.0312
5.0049e+04,-70.0531
