Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260.4
Sample Interval,0.5208
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
3.2498e+02,-71.0719
3.2550e+02,-70.0531
3.2602e+02,-69.0312
3.2654e+02,-73.5469
3.2706e+02,-78.0594
3.2758e+02,-73.5469
3.2810e+02,-69.0312
3.2862e+02,-70.0531
3.2915e+02,-71.0719
3.2967e+02,-70.0531
3.3019e+02,-69.0312
3.3071e+02,-72.0406
3.3123e+02,-75.05
3.3175e+02,-70.9875
3.3227e+02,-66.9219
3.3279e+02,-70.9875
3.3331e+02,-75.05
3.3383e+02,-71.7844
3.3435e+02,-68.5187
3.3487e+02,-68.2906
3.3540e+02,-68.0594
3.3592e+02,-67.4906
3.3644e+02,-66.9219
3.3696e+02,-72.4906
3.3748e+02,-78.0594
3.3800e+02,-73.5469
3.3852e+02,-69.0312
3.3904e+02,-72.0406
3.3956e+02,-75.05
3.4008e+02,-73.0625
3.4060e+02,-71.0719
3.4112e+02,-73.0625
3.4164e+02,-75.05
3.4217e+02,-71.5563
3.4269e+02,-68.0594
3.4321e+02,-69.5656
3.4373e+02,-71.0719
3.4425e+02,-73.0625
3.4477e+02,-75.05
3.4529e+02,-70.2812
3.4581e+02,-65.5094
3.4633e+02,-70.2812
3.4685e+02,-75.05
3.4737e+02,-72.0406
3.4789e+02,-69.0312
3.4842e+02,-67.3937
3.4894e+02,-65.7562
3.4946e+02,-68.4156
3.4998e+02,-71.0719
3.5050e+02,-71.5563
3.5102e+02,-72.0406
3.5154e+02,-71.5563
3.5206e+02,-71.0719
3.5258e+02,-70.0531
3.5310e+02,-69.0312
3.5362e+02,-70.0531
3.5414e+02,-71.0719
3.5466e+02,-70.0531
3.5519e+02,-69.0312
3.5571e+02,-73.5469
3.5623e+02,-78.0594
3.5675e+02,-74.5656
3.5727e+02,-71.0719
3.5779e+02,-71.0719
3.5831e+02,-71.0719
3.5883e+02,-71.0719
3.5935e+02,-71.0719
3.5987e+02,-71.0719
3.6039e+02,-71.0719
3.6091e+02,-71.0719
3.6144e+02,-71.0719
3.6196e+02,-73.0625
3.6248e+02,-75.05
3.6300e+02,-75.05
3.6352e+02,-75.05
3.6404e+02,-73.0625
3.6456e+02,-71.0719
3.6508e+02,-71.0719
3.6560e+02,-71.0719
3.6612e+02,-71.0719
3.6664e+02,-71.0719
3.6716e+02,-73.0625
3.6768e+02,-75.05
3.6821e+02,-72.0406
3.6873e+02,-69.0312
3.6925e+02,-69.0312
3.6977e+02,-69.0312
3.7029e+02,-69.0312
3.7081e+02,-69.0312
3.7133e+02,-73.5469
3.7185e+02,-78.0594
3.7237e+02,-73.5469
3.7289e+02,-69.0312
3.7341e+02,-69.0312
3.7393e+02,-69.0312
3.7446e+02,-70.0531
3.7498e+02,-71.0719
3.7550e+02,-70.0531
3.7602e+02,-69.0312
3.7654e+02,-72.0406
3.7706e+02,-75.05
3.7758e+02,-71.5563
3.7810e+02,-68.0594
3.7862e+02,-71.5563
3.7914e+02,-75.05
3.7966e+02,-70.9875
3.8018e+02,-66.9219
3.8070e+02,-70.9875
3.8123e+02,-75.05
3.8175e+02,-75.05
3.8227e+02,-75.05
3.8279e+02,-76.5563
3.8331e+02,-78.0594
3.8383e+02,-74.5656
3.8435e+02,-71.0719
3.8487e+02,-71.0719
3.8539e+02,-71.0719
3.8591e+02,-74.5656
3.8643e+02,-78.0594
3.8695e+02,-76.5563
3.8748e+02,-75.05
3.8800e+02,-73.0625
3.8852e+02,-71.0719
3.8904e+02,-71.0719
3.8956e+02,-71.0719
3.9008e+02,-74.5656
3.9060e+02,-78.0594
3.9112e+02,-74.5656
3.9164e+02,-71.0719
3.9216e+02,-73.0625
3.9268e+02,-75.05
3.9320e+02,-70.9875
3.9372e+02,-66.9219
3.9425e+02,-72.4906
3.9477e+02,-78.0594
3.9529e+02,-73.5469
3.9581e+02,-69.0312
3.9633e+02,-69.0312
3.9685e+02,-69.0312
3.9737e+02,-70.5375
3.9789e+02,-72.0406
3.9841e+02,-71.5563
3.9893e+02,-71.0719
3.9945e+02,-71.0719
3.9997e+02,-71.0719
4.0050e+02,-68.4156
4.0102e+02,-65.7562
4.0154e+02,-71.9094
4.0206e+02,-78.0594
4.0258e+02,-74.5656
4.0310e+02,-71.0719
4.0362e+02,-71.5563
4.0414e+02,-72.0406
