Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260400
Sample Interval,520.8
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
4.6768e+05,-71.0719
4.6820e+05,-74.5656
4.6872e+05,-78.0594
4.6924e+05,-76.5563
4.6976e+05,-75.05
4.7028e+05,-75.05
4.7080e+05,-75.05
4.7132e+05,-73.5469
4.7184e+05,-72.0406
4.7237e+05,-70.5375
4.7289e+05,-69.0312
4.7341e+05,-73.5469
4.7393e+05,-78.0594
4.7445e+05,-76.5563
4.7497e+05,-75.05
4.7549e+05,-73.0625
4.7601e+05,-71.0719
4.7653e+05,-73.0625
4.7705e+05,-75.05
4.7757e+05,-75.05
4.7809e+05,-75.05
4.7862e+05,-73.5469
4.7914e+05,-72.0406
4.7966e+05,-71.5563
4.8018e+05,-71.0719
4.8070e+05,-73.0625
4.8122e+05,-75.05
4.8174e+05,-73.5469
4.8226e+05,-72.0406
4.8278e+05,-73.5469
4.8330e+05,-75.05
4.8382e+05,-75.05
4.8434e+05,-75.05
4.8486e+05,-75.05
4.8539e+05,-75.05
4.8591e+05,-73.0625
4.8643e+05,-71.0719
4.8695e+05,-71.0719
4.8747e+05,-71.0719
4.8799e+05,-73.0625
4.8851e+05,-75.05
4.8903e+05,-76.5563
4.8955e+05,-78.0594
4.9007e+05,-76.5563
4.9059e+05,-75.05
4.9111e+05,-70.9875
4.9164e+05,-66.9219
4.9216e+05,-72.4906
4.9268e+05,-78.0594
4.9320e+05,-74.5656
4.9372e+05,-71.0719
4.9424e+05,-71.5563
4.9476e+05,-72.0406
4.9528e+05,-72.0406
4.9580e+05,-72.0406
4.9632e+05,-71.5563
4.9684e+05,-71.0719
4.9736e+05,-73.0625
4.9788e+05,-75.05
4.9841e+05,-75.05
4.9893e+05,-75.05
4.9945e+05,-75.05
4.9997e+05,-75.05
5.0049e+05,-75.05
5.0101e+05,-75.05
5.0153e+05,-73.0625
5.0205e+05,-71.0719
5.0257e+05,-73.0625
